1787452490 llm-proxy-857bf6d79d-7gjc5   236m    1987Mi   
1787452490 llm-proxy-857bf6d79d-l4sc7   77m     2084Mi   
1787452490 llm-proxy-857bf6d79d-w29hf   1896m   1113Mi   
1787452560 llm-proxy-857bf6d79d-7gjc5   240m    1989Mi   
1787452560 llm-proxy-857bf6d79d-l4sc7   80m     2084Mi   
1787452560 llm-proxy-857bf6d79d-w29hf   1807m   1251Mi   
1787452632 llm-proxy-857bf6d79d-7gjc5   234m    1989Mi   
1787452632 llm-proxy-857bf6d79d-l4sc7   85m     2084Mi   
1787452632 llm-proxy-857bf6d79d-w29hf   1900m   1355Mi   
