Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,14,0,98000,89712.57565092856,33268.88256199982,112900.3218910002,1180.0714285714287,0.12078495711537686,0.0,98000,105000,107000,109000,111000,113000,113000,113000,113000,113000,113000
,Aggregated,14,0,98000,89712.57565092856,33268.88256199982,112900.3218910002,1180.0714285714287,0.12078495711537686,0.0,98000,105000,107000,109000,111000,113000,113000,113000,113000,113000,113000
