Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,172,112,55000.0,64391.240943133766,5.269463001241093,183497.63056499977,400.40697674418607,0.4790237380330433,0.3119224340680282,61000,88000,118000,138000,166000,170000,172000,181000,183000,183000,183000
,Aggregated,172,112,55000.0,64391.240943133766,5.269463001241093,183497.63056499977,400.40697674418607,0.4790237380330433,0.3119224340680282,61000,88000,118000,138000,166000,170000,172000,181000,183000,183000,183000
