ts,status,size,total_ms,upstream_ms
1787422713,200,medium,19105.9,19100.1
1787422714,200,medium,19876.3,19867.9
1787422718,200,small,23353.1,23343.7
1787422735,200,medium,40728.5,40701.7
1787422739,200,medium,43491.1,43477.3
1787422742,200,small,49036.8,49028.3
1787422744,200,small,30229.3,30219.8
1787422748,200,small,54225.7,54218.5
1787422753,200,small,58316.3,58300.7
1787422755,200,medium,58799.8,58782.1
1787422758,200,small,61369.7,61355.8
1787422763,200,small,19293.6,19284.6
1787422764,200,medium,48003.5,47995.9
1787422764,502,large,27994.9,0.0
1787422764,502,small,23820.1,0.0
1787422764,502,medium,45206.2,0.0
1787422764,502,small,18287.9,0.0
1787422764,502,small,8073.8,0.0
1787422764,502,small,5.0,0.0
1787422765,503,small,6.2,3.3
1787422765,503,large,6.0,3.1
1787422765,503,small,6.1,3.1
1787422765,503,small,7.2,3.3
1787422765,503,small,6.4,3.1
1787422766,503,medium,6.1,3.1
1787422766,503,large,6.2,3.2
1787422766,503,small,6.1,3.1
1787422766,503,medium,7.2,4.0
1787422768,200,small,19919.9,19909.6
1787422773,200,small,14624.1,14619.7
1787422779,200,small,14787.1,14783.1
1787422790,200,medium,23891.0,23886.6
1787422792,200,medium,25588.2,25581.5
1787422800,200,medium,29859.4,29849.7
1787422812,200,medium,45213.9,45203.7
