ts,status,size,total_ms,upstream_ms
1788162099,200,small,4117.5,4109.8
1788162100,200,small,4744.4,4739.2
1788162100,200,small,4751.9,4743.9
1788162100,200,small,5208.9,5196.0
1788162100,200,small,5210.0,5204.5
1788162101,200,small,5032.7,5026.8
1788162101,200,small,5040.1,5033.7
1788162101,200,small,5462.6,5451.2
1788162101,200,small,5492.2,5466.7
1788162102,200,small,5406.1,5396.5
1788162104,200,small,6473.8,6464.9
1788162105,200,small,7917.8,7910.3
1788162105,200,small,7066.3,7061.7
1788162105,200,small,8189.7,8184.6
1788162106,200,small,4473.3,4470.0
1788162106,200,small,5376.3,5369.7
1788162107,200,small,5305.4,5296.5
1788162107,200,small,8913.4,8901.8
1788162107,200,small,4419.3,4402.5
1788162108,200,small,7790.2,7786.0
1788162110,200,small,5663.6,5656.1
1788162110,200,small,8226.7,8217.4
1788162110,200,small,9013.8,9006.5
1788162110,200,small,8928.7,8923.1
1788162112,200,small,6096.2,6085.2
1788162112,200,small,5230.7,5220.6
1788162112,200,small,4958.3,4949.7
1788162112,200,small,9659.1,9648.7
1788162113,200,small,4748.8,4736.7
1788162113,200,small,6762.7,6754.4
1788162115,200,small,6460.7,6448.4
1788162115,200,small,7207.4,7197.6
1788162115,200,small,8427.3,8405.7
1788162116,200,small,9829.7,9824.9
1788162117,200,small,6178.0,6171.7
1788162117,200,small,6418.8,6411.4
1788162118,200,small,8934.9,8930.7
1788162118,200,small,4871.8,4868.6
1788162118,200,small,7891.8,7883.6
1788162118,200,small,4722.0,4714.3
1788162120,200,small,6647.6,6637.0
1788162121,200,small,8054.7,8050.7
1788162121,200,small,8433.5,8405.5
1788162123,200,small,11639.2,11628.3
1788162124,200,small,8231.2,8220.2
1788162125,200,small,8892.4,8878.7
1788162125,200,small,7509.8,7502.5
1788162125,200,small,11207.3,11204.4
1788162126,200,small,6431.2,6428.2
1788162126,200,small,6415.7,6405.7
1788162127,200,small,6927.1,6913.9
1788162128,200,small,9510.3,9506.3
1788162128,200,small,10097.2,10090.9
1788162129,200,small,11747.0,11736.7
1788162130,200,small,8379.4,8344.5
1788162130,200,small,7762.5,7755.4
1788162130,200,small,7214.0,7166.8
1788162131,200,small,11804.8,11795.2
1788162131,200,small,5035.6,5032.3
1788162132,200,small,4971.0,4961.5
1788162132,200,small,5848.6,5842.2
1788162133,200,small,7159.0,7151.4
1788162134,200,small,8633.7,8624.0
1788162134,200,small,9855.0,9852.0
1788162135,200,small,6338.7,6333.4
1788162135,200,small,7291.9,7284.2
1788162136,200,small,6118.6,6115.4
1788162136,200,small,10340.1,10328.1
1788162137,200,small,4480.9,4477.9
1788162137,200,small,6707.0,6698.2
1788162138,200,small,4381.7,4374.2
1788162138,200,small,7638.4,7626.9
1788162139,200,small,7649.7,7641.7
1788162140,200,small,10270.8,10264.3
1788162140,200,small,5312.9,5305.6
1788162141,200,small,7302.6,7286.9
1788162141,200,small,5491.9,5476.2
1788162142,200,small,9231.2,9227.6
1788162143,200,small,5991.8,5985.1
1788162143,200,small,4981.5,4971.4
1788162143,200,small,7771.4,7768.6
1788162143,200,small,5083.1,5079.7
1788162144,200,small,7584.1,7579.9
1788162145,200,small,9263.0,9252.5
1788162145,200,small,6100.5,6096.9
1788162146,200,small,7082.7,7075.5
1788162147,200,small,6779.9,6776.6
1788162147,200,small,9898.5,9886.8
1788162148,200,small,5690.4,5683.5
1788162149,200,small,7722.2,7718.3
1788162150,200,small,4838.8,4835.8
1788162150,200,small,7008.9,7000.2
1788162150,200,small,4783.7,4774.4
1788162150,200,small,5621.3,5610.2
1788162151,200,small,9175.0,9166.1
1788162152,200,small,8028.9,8025.1
1788162152,200,small,6474.7,6471.1
1788162152,200,small,8900.2,8891.2
1788162154,200,small,6631.7,6626.9
1788162154,200,small,6978.7,6971.7
1788162155,200,small,7443.0,7432.5
1788162156,200,small,6159.7,6146.9
1788162156,200,small,4933.8,4930.8
1788162156,200,small,4825.3,4821.2
1788162156,200,small,9064.8,9058.2
1788162157,200,small,6755.3,6744.5
1788162157,200,small,6809.4,6788.3
1788162158,200,small,9764.5,9754.6
1788162159,200,small,6377.4,6366.9
1788162159,200,small,7096.1,7091.4
1788162161,200,small,7256.2,7243.0
1788162161,200,small,5308.5,5296.2
1788162162,200,small,9949.2,9938.9
1788162162,200,small,7051.3,7039.8
1788162162,200,small,5030.7,5016.6
1788162163,200,small,4958.8,4953.9
1788162163,200,small,5761.3,5751.3
1788162163,200,small,9335.6,9327.4
1788162164,200,small,7531.7,7529.0
1788162164,200,small,5487.9,5476.1
1788162166,200,small,7044.0,7038.6
1788162166,200,small,6168.0,6162.5
1788162167,200,small,9618.1,9606.9
