Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,15,0,7300,9111.639754799156,6559.848430999409,16302.852025997709,975.2,0.2916030512344188,0.0,7300,7800,8100,16000,16000,16000,16000,16000,16000,16000,16000
,Aggregated,15,0,7300,9111.639754799156,6559.848430999409,16302.852025997709,975.2,0.2916030512344188,0.0,7300,7800,8100,16000,16000,16000,16000,16000,16000,16000,16000
