Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/generate,HTTPError('500 Server Error: Internal Server Error for url: /generate'),1,2026-08-29T15:34:23Z,2026-08-29T15:34:23Z
POST,/generate,HTTPError('504 Server Error: Gateway Timeout for url: /generate'),11,2026-08-29T15:41:19Z,2026-08-29T15:47:56Z
