1788018024 llm-proxy-7dc458997b-mbdgv   1458m   1730Mi   
1788018024 llm-proxy-7dc458997b-plg75   1878m   2152Mi   
1788018024 llm-proxy-7dc458997b-qldj5   1917m   2066Mi   
1788018024 llm-proxy-7dc458997b-rlljm   1806m   1984Mi   
1788018093 llm-proxy-7dc458997b-6h8ms   199m    2755Mi   
1788018093 llm-proxy-7dc458997b-dj9dk   4m      205Mi    
1788018093 llm-proxy-7dc458997b-mbdgv   1675m   1730Mi   
1788018093 llm-proxy-7dc458997b-plg75   1909m   2274Mi   
1788018093 llm-proxy-7dc458997b-qldj5   1922m   2263Mi   
1788018093 llm-proxy-7dc458997b-rlljm   1915m   1984Mi   
1788018162 llm-proxy-7dc458997b-6h8ms   242m    2766Mi   
1788018162 llm-proxy-7dc458997b-dj9dk   4m      205Mi    
1788018162 llm-proxy-7dc458997b-mbdgv   1487m   1769Mi   
1788018162 llm-proxy-7dc458997b-plg75   1917m   2336Mi   
1788018162 llm-proxy-7dc458997b-qldj5   1894m   2411Mi   
1788018162 llm-proxy-7dc458997b-rlljm   1657m   2062Mi   
1788018231 llm-proxy-7dc458997b-6h8ms   205m    2779Mi   
1788018231 llm-proxy-7dc458997b-dj9dk   4m      205Mi    
1788018231 llm-proxy-7dc458997b-mbdgv   1465m   1769Mi   
1788018231 llm-proxy-7dc458997b-plg75   1924m   2523Mi   
1788018231 llm-proxy-7dc458997b-qldj5   1870m   2620Mi   
1788018231 llm-proxy-7dc458997b-rlljm   1933m   2062Mi   
1788018300 llm-proxy-7dc458997b-6h8ms   198m    2760Mi   
1788018300 llm-proxy-7dc458997b-dj9dk   4m      205Mi    
1788018300 llm-proxy-7dc458997b-mbdgv   1748m   1829Mi   
1788018300 llm-proxy-7dc458997b-plg75   1160m   2828Mi   
1788018300 llm-proxy-7dc458997b-qldj5   174m    2846Mi   
1788018300 llm-proxy-7dc458997b-rlljm   1669m   2144Mi   
1788018369 llm-proxy-7dc458997b-6h8ms   195m    2766Mi   
1788018369 llm-proxy-7dc458997b-dj9dk   4m      205Mi    
1788018369 llm-proxy-7dc458997b-mbdgv   1935m   1829Mi   
1788018369 llm-proxy-7dc458997b-plg75   212m    2861Mi   
1788018369 llm-proxy-7dc458997b-qldj5   194m    2796Mi   
1788018369 llm-proxy-7dc458997b-rlljm   1671m   2144Mi   
1788018438 llm-proxy-7dc458997b-6h8ms   213m    2761Mi   
1788018438 llm-proxy-7dc458997b-dj9dk   4m      205Mi    
1788018438 llm-proxy-7dc458997b-mbdgv   1498m   1868Mi   
1788018438 llm-proxy-7dc458997b-plg75   222m    2858Mi   
1788018438 llm-proxy-7dc458997b-qldj5   218m    2797Mi   
1788018438 llm-proxy-7dc458997b-rlljm   1402m   2245Mi   
1788018507 llm-proxy-7dc458997b-6h8ms   200m    2761Mi   
1788018507 llm-proxy-7dc458997b-dj9dk   4m      205Mi    
1788018507 llm-proxy-7dc458997b-mbdgv   1942m   1992Mi   
1788018507 llm-proxy-7dc458997b-plg75   197m    2870Mi   
1788018507 llm-proxy-7dc458997b-qldj5   208m    2753Mi   
1788018507 llm-proxy-7dc458997b-rlljm   1665m   2403Mi   
1788018577 llm-proxy-7dc458997b-6h8ms   202m    2748Mi   
1788018577 llm-proxy-7dc458997b-dj9dk   4m      205Mi    
1788018577 llm-proxy-7dc458997b-mbdgv   977m    1992Mi   
1788018577 llm-proxy-7dc458997b-plg75   206m    2871Mi   
1788018577 llm-proxy-7dc458997b-qldj5   217m    2749Mi   
1788018577 llm-proxy-7dc458997b-rlljm   1450m   2613Mi   
1788018646 llm-proxy-7dc458997b-6h8ms   208m   2761Mi   
1788018646 llm-proxy-7dc458997b-dj9dk   4m     205Mi    
1788018646 llm-proxy-7dc458997b-mbdgv   4m     1992Mi   
1788018646 llm-proxy-7dc458997b-plg75   4m     2807Mi   
1788018646 llm-proxy-7dc458997b-qldj5   217m   2734Mi   
1788018715 llm-proxy-7dc458997b-6h8ms   205m   2768Mi   
1788018715 llm-proxy-7dc458997b-dj9dk   4m     205Mi    
1788018715 llm-proxy-7dc458997b-mbdgv   4m     1992Mi   
1788018715 llm-proxy-7dc458997b-plg75   4m     2806Mi   
1788018715 llm-proxy-7dc458997b-qldj5   216m   2760Mi   
1788018784 llm-proxy-7dc458997b-6h8ms   205m   2767Mi   
1788018784 llm-proxy-7dc458997b-dj9dk   4m     205Mi    
1788018784 llm-proxy-7dc458997b-plg75   4m     2801Mi   
1788018784 llm-proxy-7dc458997b-qldj5   220m   2756Mi   
1788018853 llm-proxy-7dc458997b-6h8ms   3m    2754Mi   
1788018853 llm-proxy-7dc458997b-dj9dk   4m    205Mi    
1788018853 llm-proxy-7dc458997b-plg75   4m    2796Mi   
1788018853 llm-proxy-7dc458997b-qldj5   4m    2793Mi   
1788018922 llm-proxy-7dc458997b-qldj5   4m    2792Mi   
1788018991 llm-proxy-7dc458997b-qldj5   4m    2786Mi   
1788019059 llm-proxy-7dc458997b-qldj5   4m    2786Mi   
