1787926663 llm-proxy-7dc458997b-gxd5j   4m      415Mi    
1787926663 llm-proxy-7dc458997b-kvsdk   1907m   1924Mi   
1787926663 llm-proxy-7dc458997b-p2zdm   1901m   2148Mi   
1787926730 llm-proxy-7dc458997b-5rdc2   1918m   2664Mi   
1787926730 llm-proxy-7dc458997b-87wf2   4m      457Mi    
1787926730 llm-proxy-7dc458997b-9dwsh   1917m   2129Mi   
1787926730 llm-proxy-7dc458997b-gxd5j   4m      415Mi    
1787926730 llm-proxy-7dc458997b-kvsdk   1905m   2092Mi   
1787926730 llm-proxy-7dc458997b-p2zdm   1920m   2279Mi   
1787926797 llm-proxy-7dc458997b-5rdc2   1906m   2663Mi   
1787926797 llm-proxy-7dc458997b-87wf2   3m      457Mi    
1787926797 llm-proxy-7dc458997b-9dwsh   1834m   2276Mi   
1787926797 llm-proxy-7dc458997b-gxd5j   4m      415Mi    
1787926797 llm-proxy-7dc458997b-kvsdk   1914m   2092Mi   
1787926797 llm-proxy-7dc458997b-p2zdm   1908m   2369Mi   
1787926865 llm-proxy-7dc458997b-5rdc2   1892m   2666Mi   
1787926865 llm-proxy-7dc458997b-87wf2   3m      457Mi    
1787926865 llm-proxy-7dc458997b-9dwsh   1602m   2331Mi   
1787926865 llm-proxy-7dc458997b-gxd5j   4m      415Mi    
1787926865 llm-proxy-7dc458997b-kvsdk   1924m   2151Mi   
1787926865 llm-proxy-7dc458997b-p2zdm   1912m   2441Mi   
1787926933 llm-proxy-7dc458997b-5rdc2   1900m   2664Mi   
1787926933 llm-proxy-7dc458997b-87wf2   3m      457Mi    
1787926933 llm-proxy-7dc458997b-9dwsh   4m      2331Mi   
1787926933 llm-proxy-7dc458997b-gxd5j   4m      415Mi    
1787926933 llm-proxy-7dc458997b-kvsdk   1918m   2244Mi   
1787926933 llm-proxy-7dc458997b-p2zdm   1890m   2695Mi   
1787927000 llm-proxy-7dc458997b-5rdc2   1862m   2708Mi   
1787927000 llm-proxy-7dc458997b-87wf2   4m      457Mi    
1787927000 llm-proxy-7dc458997b-9dwsh   4m      2331Mi   
1787927000 llm-proxy-7dc458997b-gxd5j   4m      415Mi    
1787927000 llm-proxy-7dc458997b-kvsdk   1853m   2244Mi   
1787927000 llm-proxy-7dc458997b-p2zdm   254m    2828Mi   
1787927067 llm-proxy-7dc458997b-5rdc2   1700m   2766Mi   
1787927067 llm-proxy-7dc458997b-87wf2   3m      457Mi    
1787927067 llm-proxy-7dc458997b-9dwsh   4m      2331Mi   
1787927067 llm-proxy-7dc458997b-gxd5j   4m      415Mi    
1787927067 llm-proxy-7dc458997b-kvsdk   1766m   2246Mi   
1787927067 llm-proxy-7dc458997b-p2zdm   200m    2859Mi   
1787927134 llm-proxy-7dc458997b-5rdc2   1899m   2768Mi   
1787927134 llm-proxy-7dc458997b-87wf2   3m      457Mi    
1787927134 llm-proxy-7dc458997b-9dwsh   4m      2331Mi   
1787927134 llm-proxy-7dc458997b-gxd5j   3m      415Mi    
1787927134 llm-proxy-7dc458997b-kvsdk   1913m   2246Mi   
1787927134 llm-proxy-7dc458997b-p2zdm   211m    2847Mi   
1787927201 llm-proxy-7dc458997b-5rdc2   1840m   2773Mi   
1787927201 llm-proxy-7dc458997b-87wf2   3m      457Mi    
1787927201 llm-proxy-7dc458997b-9dwsh   4m      2331Mi   
1787927201 llm-proxy-7dc458997b-gxd5j   3m      415Mi    
1787927201 llm-proxy-7dc458997b-kvsdk   1913m   2263Mi   
1787927201 llm-proxy-7dc458997b-p2zdm   196m    2838Mi   
1787927268 llm-proxy-7dc458997b-5rdc2   1861m   2798Mi   
1787927268 llm-proxy-7dc458997b-87wf2   3m      457Mi    
1787927268 llm-proxy-7dc458997b-9dwsh   4m      2331Mi   
1787927268 llm-proxy-7dc458997b-kvsdk   869m    2263Mi   
1787927268 llm-proxy-7dc458997b-p2zdm   210m    2857Mi   
1787927335 llm-proxy-7dc458997b-87wf2   3m     457Mi    
1787927335 llm-proxy-7dc458997b-9dwsh   4m     2331Mi   
1787927335 llm-proxy-7dc458997b-kvsdk   4m     2263Mi   
1787927335 llm-proxy-7dc458997b-p2zdm   193m   2872Mi   
1787927403 llm-proxy-7dc458997b-87wf2   3m     457Mi    
1787927403 llm-proxy-7dc458997b-9dwsh   4m     2331Mi   
1787927403 llm-proxy-7dc458997b-kvsdk   4m     2263Mi   
1787927403 llm-proxy-7dc458997b-p2zdm   195m   2838Mi   
1787927470 llm-proxy-7dc458997b-87wf2   3m     457Mi    
1787927470 llm-proxy-7dc458997b-9dwsh   4m     2331Mi   
1787927470 llm-proxy-7dc458997b-kvsdk   4m     2263Mi   
1787927470 llm-proxy-7dc458997b-p2zdm   196m   2776Mi   
1787927537 llm-proxy-7dc458997b-87wf2   3m    456Mi    
1787927537 llm-proxy-7dc458997b-9dwsh   4m    2331Mi   
1787927537 llm-proxy-7dc458997b-kvsdk   4m    2263Mi   
1787927537 llm-proxy-7dc458997b-p2zdm   4m    2755Mi   
1787927604 llm-proxy-7dc458997b-kvsdk   4m    2263Mi   
1787927671 llm-proxy-7dc458997b-kvsdk   4m    2264Mi   
