1787419176 llm-proxy-857bf6d79d-lzjc4   4m    446Mi   
1787419247 llm-proxy-857bf6d79d-lzjc4   1920m   795Mi   
1787419318 llm-proxy-857bf6d79d-lzjc4   1916m   1025Mi   
1787419318 llm-proxy-857bf6d79d-thxs6   41m     401Mi    
