1787447863 llm-proxy-857bf6d79d-gbrzg   263m   2016Mi   
1787447863 llm-proxy-857bf6d79d-l4sc7   245m   1919Mi   
1787447863 llm-proxy-857bf6d79d-tmxvt   250m   2016Mi   
1787447863 llm-proxy-857bf6d79d-z8vvr   254m   2043Mi   
1787447934 llm-proxy-857bf6d79d-gbrzg   431m   2066Mi   
1787447934 llm-proxy-857bf6d79d-l4sc7   469m   1961Mi   
1787447934 llm-proxy-857bf6d79d-tmxvt   255m   2019Mi   
1787447934 llm-proxy-857bf6d79d-z8vvr   257m   1985Mi   
1787448005 llm-proxy-857bf6d79d-gbrzg   1905m   669Mi    
1787448005 llm-proxy-857bf6d79d-l4sc7   399m    1940Mi   
1787448005 llm-proxy-857bf6d79d-tmxvt   247m    2020Mi   
1787448005 llm-proxy-857bf6d79d-z8vvr   297m    1995Mi   
