run,n_requests,n_failures,error_rate,req_s,avg_ms,p50_ms,p95_ms,max_pods,cpu_pct_steady
1,42,0,0.0,0.1169011543115126,28799.18469990476,24000.0,56000.0,2,84.0
2,48,0,0.0,0.1352121897682587,26041.756839125035,21000.0,58000.0,2,98.5
3,55,0,0.0,0.1569499195975202,21216.06230372728,20000.0,52000.0,2,84.2
