1787452815 llm-proxy-857bf6d79d-7gjc5   255m    1991Mi   
1787452815 llm-proxy-857bf6d79d-l4sc7   84m     2084Mi   
1787452815 llm-proxy-857bf6d79d-w29hf   1901m   1657Mi   
1787452886 llm-proxy-857bf6d79d-7gjc5   239m    2010Mi   
1787452886 llm-proxy-857bf6d79d-l4sc7   82m     2084Mi   
1787452886 llm-proxy-857bf6d79d-w29hf   1698m   1716Mi   
1787452957 llm-proxy-857bf6d79d-7gjc5   230m    2011Mi   
1787452957 llm-proxy-857bf6d79d-l4sc7   93m     2084Mi   
1787452957 llm-proxy-857bf6d79d-w29hf   1894m   1977Mi   
