Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,45,0,47000,62981.101553555585,40071.91179500023,123393.80193999932,1930.1333333333334,0.25463715313841806,0.0,47000,81000,81000,82000,84000,122000,123000,123000,123000,123000,123000
,Aggregated,45,0,47000,62981.101553555585,40071.91179500023,123393.80193999932,1930.1333333333334,0.25463715313841806,0.0,47000,81000,81000,82000,84000,122000,123000,123000,123000,123000,123000
