1787448663 llm-proxy-857bf6d79d-l4sc7   275m   2028Mi   
1787448663 llm-proxy-857bf6d79d-tmxvt   297m   2019Mi   
1787448663 llm-proxy-857bf6d79d-z8vvr   313m   2026Mi   
1787448735 llm-proxy-857bf6d79d-l4sc7   332m   1955Mi   
1787448735 llm-proxy-857bf6d79d-tmxvt   331m   1978Mi   
1787448807 llm-proxy-857bf6d79d-l4sc7   274m   1959Mi   
1787448807 llm-proxy-857bf6d79d-tmxvt   252m   1925Mi   
