1787428501 llm-proxy-857bf6d79d-d577b   1913m   953Mi    
1787428501 llm-proxy-857bf6d79d-jlz5f   540m    2000Mi   
1787428573 llm-proxy-857bf6d79d-d577b   1911m   1099Mi   
1787428573 llm-proxy-857bf6d79d-jlz5f   282m    2001Mi   
1787428573 llm-proxy-857bf6d79d-kjg95   69m     205Mi    
1787428646 llm-proxy-857bf6d79d-d577b   1903m   1154Mi   
1787428646 llm-proxy-857bf6d79d-jlz5f   277m    2002Mi   
1787428646 llm-proxy-857bf6d79d-kjg95   4m      205Mi    
