1787453303 llm-proxy-857bf6d79d-7gjc5   365m    2003Mi   
1787453303 llm-proxy-857bf6d79d-l4sc7   78m     2084Mi   
1787453303 llm-proxy-857bf6d79d-w29hf   1303m   1950Mi   
1787453377 llm-proxy-857bf6d79d-7gjc5   279m   2004Mi   
1787453377 llm-proxy-857bf6d79d-l4sc7   82m    2084Mi   
1787453377 llm-proxy-857bf6d79d-w29hf   237m   1972Mi   
1787453448 llm-proxy-857bf6d79d-7gjc5   247m   2005Mi   
1787453448 llm-proxy-857bf6d79d-l4sc7   84m    2085Mi   
1787453448 llm-proxy-857bf6d79d-w29hf   244m   1982Mi   
