1787953517 llm-proxy-7dc458997b-djj7s   1918m   2284Mi   
1787953517 llm-proxy-7dc458997b-ftb2l   1837m   1795Mi   
1787953517 llm-proxy-7dc458997b-pkvdf   4m      205Mi    
1787953517 llm-proxy-7dc458997b-rns96   3m      205Mi    
1787953587 llm-proxy-7dc458997b-6mn82   1911m   1982Mi   
1787953587 llm-proxy-7dc458997b-7h8n4   189m    2769Mi   
1787953587 llm-proxy-7dc458997b-djj7s   1916m   2323Mi   
1787953587 llm-proxy-7dc458997b-ftb2l   1910m   1822Mi   
1787953587 llm-proxy-7dc458997b-pkvdf   4m      205Mi    
1787953587 llm-proxy-7dc458997b-rns96   4m      205Mi    
1787953657 llm-proxy-7dc458997b-6mn82   1799m   2101Mi   
1787953657 llm-proxy-7dc458997b-7h8n4   200m    2741Mi   
1787953657 llm-proxy-7dc458997b-djj7s   1897m   2348Mi   
1787953657 llm-proxy-7dc458997b-ftb2l   1825m   2017Mi   
1787953657 llm-proxy-7dc458997b-pkvdf   4m      205Mi    
1787953657 llm-proxy-7dc458997b-rns96   4m      205Mi    
1787953728 llm-proxy-7dc458997b-6mn82   1904m   2139Mi   
1787953728 llm-proxy-7dc458997b-7h8n4   208m    2817Mi   
1787953728 llm-proxy-7dc458997b-djj7s   1923m   2406Mi   
1787953728 llm-proxy-7dc458997b-ftb2l   1914m   2036Mi   
1787953728 llm-proxy-7dc458997b-pkvdf   4m      205Mi    
1787953728 llm-proxy-7dc458997b-rns96   4m      205Mi    
1787953798 llm-proxy-7dc458997b-6mn82   1915m   2219Mi   
1787953798 llm-proxy-7dc458997b-7h8n4   182m    2854Mi   
1787953798 llm-proxy-7dc458997b-djj7s   1906m   2483Mi   
1787953798 llm-proxy-7dc458997b-ftb2l   1913m   2075Mi   
1787953798 llm-proxy-7dc458997b-pkvdf   5m      205Mi    
1787953798 llm-proxy-7dc458997b-rns96   4m      205Mi    
1787953868 llm-proxy-7dc458997b-6mn82   1917m   2257Mi   
1787953868 llm-proxy-7dc458997b-7h8n4   186m    2840Mi   
1787953868 llm-proxy-7dc458997b-djj7s   1354m   2814Mi   
1787953868 llm-proxy-7dc458997b-ftb2l   1911m   2132Mi   
1787953868 llm-proxy-7dc458997b-pkvdf   4m      205Mi    
1787953868 llm-proxy-7dc458997b-rns96   4m      205Mi    
1787953938 llm-proxy-7dc458997b-6mn82   1581m   2380Mi   
1787953938 llm-proxy-7dc458997b-7h8n4   183m    2848Mi   
1787953938 llm-proxy-7dc458997b-djj7s   198m    2863Mi   
1787953938 llm-proxy-7dc458997b-ftb2l   1830m   2212Mi   
1787953938 llm-proxy-7dc458997b-pkvdf   5m      205Mi    
1787953938 llm-proxy-7dc458997b-rns96   4m      205Mi    
1787954008 llm-proxy-7dc458997b-6mn82   1900m   2418Mi   
1787954008 llm-proxy-7dc458997b-7h8n4   182m    2845Mi   
1787954008 llm-proxy-7dc458997b-djj7s   195m    2811Mi   
