1787443140 llm-proxy-857bf6d79d-l4sc7   1908m   1053Mi   
1787443140 llm-proxy-857bf6d79d-z8vvr   4m      410Mi    
1787443211 llm-proxy-857bf6d79d-l4sc7   1910m   1176Mi   
1787443211 llm-proxy-857bf6d79d-z8vvr   1909m   828Mi    
1787443282 llm-proxy-857bf6d79d-l4sc7   1904m   1273Mi   
1787443282 llm-proxy-857bf6d79d-tmxvt   4m      407Mi    
1787443282 llm-proxy-857bf6d79d-z8vvr   1910m   1117Mi   
