Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,605,0,72000,80532.45550940158,3244.502476999969,229090.3875099998,1164.6942148760331,0.3321296229477066,0.0,72000,103000,119000,135000,160000,179000,188000,198000,229000,229000,229000
,Aggregated,605,0,72000,80532.45550940158,3244.502476999969,229090.3875099998,1164.6942148760331,0.3321296229477066,0.0,72000,103000,119000,135000,160000,179000,188000,198000,229000,229000,229000
