Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,1,0,111722.03566500002,111722.03566500002,111722.03566500002,111722.03566500002,1913.0,0.00895014821066835,0.0,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000
,Aggregated,1,0,111722.03566500002,111722.03566500002,111722.03566500002,111722.03566500002,1913.0,0.00895014821066835,0.0,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000,112000
