1787351935 llm-proxy-857bf6d79d-9gm2k   1917m   1285Mi   
1787351935 llm-proxy-857bf6d79d-vb4kw   4m      205Mi    
1787352007 llm-proxy-857bf6d79d-9gm2k   1803m   1341Mi   
1787352007 llm-proxy-857bf6d79d-vb4kw   1913m   720Mi    
1787352087 llm-proxy-857bf6d79d-9gm2k   1904m   1340Mi   
1787352087 llm-proxy-857bf6d79d-vb4kw   1883m   1018Mi   
1787352312 llm-proxy-857bf6d79d-9gm2k   1912m   1584Mi   
1787352312 llm-proxy-857bf6d79d-vb4kw   1906m   1224Mi   
