Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/generate,HTTPError('504 Server Error: Gateway Timeout for url: /generate'),8,2026-08-29T10:20:00Z,2026-08-29T10:22:39Z
POST,/generate,RemoteDisconnected('Remote end closed connection without response'),1,2026-08-29T10:22:16Z,2026-08-29T10:22:16Z
