Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,82,19,26000.0,33358.88171758541,6.60568900002545,97471.50125300049,804.1585365853658,0.689926553467252,0.15986103068143642,27000,43000,59000,61000,72000,79000,83000,97000,97000,97000,97000
,Aggregated,82,19,26000.0,33358.88171758541,6.60568900002545,97471.50125300049,804.1585365853658,0.689926553467252,0.15986103068143642,27000,43000,59000,61000,72000,79000,83000,97000,97000,97000,97000
