1787949216 llm-proxy-7dc458997b-mg7hk   185m    2851Mi   
1787949286 llm-proxy-7dc458997b-8pk5f   4m     2532Mi   
1787949286 llm-proxy-7dc458997b-9vbfk   4m     205Mi    
1787949286 llm-proxy-7dc458997b-ltlhz   4m     205Mi    
1787949286 llm-proxy-7dc458997b-mg7hk   166m   2852Mi   
1787949357 llm-proxy-7dc458997b-8pk5f   4m    2534Mi   
1787949357 llm-proxy-7dc458997b-9vbfk   4m    205Mi    
1787949357 llm-proxy-7dc458997b-ltlhz   3m    205Mi    
1787949428 llm-proxy-7dc458997b-9vbfk   4m    205Mi   
1787949428 llm-proxy-7dc458997b-ltlhz   4m    205Mi   
1787949498 llm-proxy-7dc458997b-9vbfk   4m    205Mi   
1787949498 llm-proxy-7dc458997b-ltlhz   5m    205Mi   
1787949568 llm-proxy-7dc458997b-ltlhz   4m    205Mi   
1787949638 llm-proxy-7dc458997b-ltlhz   4m    205Mi   
