Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,92,0,25000,33303.09696490217,11313.241854000125,90677.15330300007,1293.554347826087,0.5127800868737054,0.0,25000,40000,41000,42000,64000,82000,87000,91000,91000,91000,91000
,Aggregated,92,0,25000,33303.09696490217,11313.241854000125,90677.15330300007,1293.554347826087,0.5127800868737054,0.0,25000,40000,41000,42000,64000,82000,87000,91000,91000,91000,91000
