ts,status,size,total_ms,upstream_ms
1788185576,200,small,5364.1,5357.9
1788185577,200,small,4871.3,4867.0
1788185577,200,small,6400.2,6390.2
1788185577,200,small,6706.5,6684.7
1788185578,200,small,6330.3,6301.7
1788185578,200,small,5487.1,5474.7
1788185578,200,small,6677.6,6670.6
1788185583,200,small,10104.5,10093.1
1788185584,200,small,10892.8,10882.3
1788185584,200,small,10660.1,10643.9
1788185585,200,small,6498.8,6494.4
1788185589,200,large,15360.0,15344.7
1788185590,200,small,6550.7,6538.8
1788185591,200,medium,19802.9,19788.9
1788185593,200,medium,22082.3,22070.2
1788185593,200,medium,21780.0,21773.3
1788185594,200,small,14958.0,14954.5
1788185595,200,medium,21111.4,21102.1
1788185595,200,small,9714.5,9705.7
1788185599,200,small,13959.8,13950.0
1788185600,200,medium,27566.6,27535.0
1788185601,200,small,8837.5,8826.7
1788185606,200,small,9875.5,9866.8
1788185610,200,large,39139.9,39124.8
1788185613,200,medium,39136.4,39126.4
1788185614,200,medium,39966.2,39957.1
1788185614,200,large,41278.1,41262.6
1788185614,200,medium,36416.5,36406.6
1788185615,200,medium,19271.1,19264.9
1788185616,200,small,4742.9,4730.8
1788185618,200,small,26129.9,26125.9
1788185618,200,small,23608.0,23596.1
1788185621,200,small,6202.2,6192.5
1788185624,200,large,45991.6,45982.9
1788185625,200,large,46881.5,46877.5
1788185625,200,large,46214.4,46207.8
1788185626,200,small,7497.9,7483.7
1788185628,200,medium,26234.4,26228.4
1788185631,200,small,35692.4,35685.9
1788185631,200,small,9542.7,9536.0
1788185633,200,small,6518.1,6510.1
1788185635,200,medium,19479.1,19468.9
1788185637,200,small,8814.2,8796.5
1788185638,200,medium,20043.1,20026.0
1788185638,200,small,8845.5,8841.6
1788185640,200,medium,24810.0,24800.7
1788185641,200,small,4759.9,4748.6
1788185641,200,large,60960.2,60945.1
1788185642,200,large,52432.5,52421.2
1788185643,200,small,9240.7,9225.7
1788185646,200,small,7007.3,6995.5
1788185647,200,medium,40176.5,40166.5
1788185648,200,small,20771.4,20767.6
1788185648,200,small,6425.9,6418.0
1788185650,200,large,12741.7,12733.1
1788185653,200,small,21504.2,21499.2
1788185654,200,medium,52383.1,52375.5
1788185655,200,small,8178.9,8169.6
1788185657,200,large,62273.8,62265.8
1788185658,200,small,15103.0,15100.0
1788185659,200,small,9831.3,9825.0
1788185659,200,medium,25520.8,25516.7
1788185661,200,large,46733.9,46723.8
1788185661,200,small,5244.4,5233.8
1788185663,200,medium,21293.7,21281.1
1788185664,200,small,16842.9,16836.3
1788185666,200,large,81098.4,81089.3
1788185666,200,medium,50983.6,50978.7
1788185667,200,medium,27917.8,27912.3
1788185668,200,small,5184.3,5153.6
1788185671,200,small,13431.8,13420.6
1788185674,200,small,5298.6,5270.1
1788185677,200,small,14281.1,14274.3
1788185678,200,medium,23801.2,23794.1
1788185680,200,small,5213.8,5200.8
1788185682,200,large,80175.9,80169.5
1788185683,200,medium,31403.0,31383.9
1788185686,200,medium,60813.0,60806.4
1788185686,200,medium,26482.1,26465.3
1788185687,200,small,5270.0,5261.9
1788185688,200,small,46046.4,46029.2
1788185689,200,small,24182.2,24176.8
1788185689,200,large,40234.9,40225.9
1788185691,200,large,47430.2,47418.2
1788185692,200,small,23746.5,23736.6
1788185692,200,large,25958.5,25949.9
1788185693,200,small,4379.1,4356.3
1788185697,200,small,9455.7,9440.5
1788185697,200,medium,29724.2,29719.1
1788185699,200,large,44287.4,44267.9
1788185702,200,large,83746.4,83740.3
1788185702,200,small,29265.6,29254.9
1788185708,200,small,9205.3,9197.0
1788185708,200,medium,41264.7,41251.2
1788185709,200,medium,25216.1,25203.4
1788185710,200,medium,26934.2,26922.5
1788185712,200,medium,21494.2,21488.8
1788185712,200,medium,21541.3,21534.7
1788185713,200,small,9859.2,9852.4
1788185715,200,medium,21649.8,21641.5
1788185715,200,small,22288.1,22279.3
1788185718,200,small,13754.6,13743.1
1788185719,200,medium,25197.9,25186.1
1788185719,200,small,7752.4,7740.4
1788185720,200,large,61000.0,60991.3
1788185721,200,medium,60287.9,60276.3
1788185722,200,small,5161.2,5135.8
1788185723,200,medium,45727.1,45711.8
1788185724,200,medium,36507.7,36500.7
1788185724,200,small,26682.4,26676.1
1788185725,200,small,46050.3,46040.1
1788185726,200,small,25659.8,25650.9
1788185729,200,small,14443.3,14435.7
1788185730,200,small,8686.7,8680.6
1788185734,200,small,14084.2,14076.8
1788185736,200,small,8457.2,8447.8
1788185736,200,large,43049.3,43044.5
1788185737,200,medium,23429.9,23423.8
1788185739,200,medium,29290.2,29279.1
1788185741,200,small,13493.0,13482.4
1788185742,200,small,21457.4,21443.5
1788185744,200,small,13905.9,13901.6
1788185744,200,medium,35349.4,35342.9
1788185747,200,medium,24712.4,24705.2
1788185750,200,small,38147.2,38137.2
