1787442970 llm-proxy-857bf6d79d-l4sc7   4m    457Mi   
1787443041 llm-proxy-857bf6d79d-l4sc7   1875m   784Mi   
1787443114 llm-proxy-857bf6d79d-l4sc7   1916m   977Mi   
1787443114 llm-proxy-857bf6d79d-z8vvr   2m      410Mi   
