1787471768 llm-proxy-857bf6d79d-79btg   712m   2029Mi   
1787471768 llm-proxy-857bf6d79d-ncklk   4m     205Mi    
1787471840 llm-proxy-857bf6d79d-79btg   254m    2026Mi   
1787471840 llm-proxy-857bf6d79d-fhbgs   143m    4Mi      
1787471840 llm-proxy-857bf6d79d-ncklk   1934m   518Mi    
1787471912 llm-proxy-857bf6d79d-79btg   268m    2036Mi   
1787471912 llm-proxy-857bf6d79d-fhbgs   4m      205Mi    
1787471912 llm-proxy-857bf6d79d-ncklk   1895m   952Mi    
