Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,235,0,9200,9691.54909389361,4471.467551999922,136491.3198910001,802.3063829787234,1.3168819181474714,0.0,9200,9700,11000,12000,15000,16000,18000,18000,136000,136000,136000
,Aggregated,235,0,9200,9691.54909389361,4471.467551999922,136491.3198910001,802.3063829787234,1.3168819181474714,0.0,9200,9700,11000,12000,15000,16000,18000,18000,136000,136000,136000
