1787960659 llm-proxy-7dc458997b-j8s4w   1642m   2050Mi   
1787960659 llm-proxy-7dc458997b-md9lt   1817m   2732Mi   
1787960659 llm-proxy-7dc458997b-qf7tn   1506m   1678Mi   
1787960659 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787960729 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787960729 llm-proxy-7dc458997b-ctwm4   1824m   2392Mi   
1787960729 llm-proxy-7dc458997b-j8s4w   1615m   2054Mi   
1787960729 llm-proxy-7dc458997b-md9lt   1757m   2782Mi   
1787960729 llm-proxy-7dc458997b-qf7tn   1680m   1836Mi   
1787960729 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787960799 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787960799 llm-proxy-7dc458997b-ctwm4   1894m   2392Mi   
1787960799 llm-proxy-7dc458997b-j8s4w   1489m   2132Mi   
1787960799 llm-proxy-7dc458997b-md9lt   1881m   2717Mi   
1787960799 llm-proxy-7dc458997b-qf7tn   1895m   1993Mi   
1787960799 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787960870 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787960870 llm-proxy-7dc458997b-ctwm4   1913m   2392Mi   
1787960870 llm-proxy-7dc458997b-j8s4w   1915m   2132Mi   
1787960870 llm-proxy-7dc458997b-md9lt   1808m   2765Mi   
1787960870 llm-proxy-7dc458997b-qf7tn   1911m   2012Mi   
1787960870 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787960940 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787960940 llm-proxy-7dc458997b-ctwm4   1910m   2585Mi   
1787960940 llm-proxy-7dc458997b-j8s4w   1892m   2190Mi   
1787960940 llm-proxy-7dc458997b-md9lt   208m    2823Mi   
1787960940 llm-proxy-7dc458997b-qf7tn   1715m   2146Mi   
1787960940 llm-proxy-7dc458997b-zrv9p   4m      205Mi    
1787961011 llm-proxy-7dc458997b-b92v6   4m      205Mi    
1787961011 llm-proxy-7dc458997b-ctwm4   1859m   2720Mi   
