Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,48,0,17000,26041.756839125035,3255.1724279999235,156108.19525700004,1153.875,0.1352121897682587,0.0,21000,27000,35000,37000,48000,58000,156000,156000,156000,156000,156000
,Aggregated,48,0,17000,26041.756839125035,3255.1724279999235,156108.19525700004,1153.875,0.1352121897682587,0.0,21000,27000,35000,37000,48000,58000,156000,156000,156000,156000,156000
