ts,status,size,total_ms,upstream_ms
1788183701,200,large,20065.3,20056.6
1788183721,200,large,39300.4,39294.5
1788183722,200,large,40592.8,40576.3
1788183722,200,large,40617.7,40587.9
1788183724,200,large,41298.6,41257.7
1788183724,200,large,41118.4,41109.5
1788183724,200,large,41127.4,41117.0
1788183725,200,large,42653.7,42648.0
1788183725,200,large,42658.3,42652.3
1788183725,200,large,41979.7,41972.7
1788183726,200,large,41866.2,41861.2
1788183727,200,large,42870.8,42860.8
1788183743,200,large,60377.0,60372.7
1788183763,200,large,78308.2,78296.8
1788183763,200,large,81318.1,81308.0
1788183763,200,large,41181.8,41164.5
1788183764,200,large,82178.1,82145.9
1788183764,200,large,80229.3,80220.1
1788183764,200,large,81238.3,81231.0
1788183766,200,large,40229.7,40226.0
1788183766,200,large,40107.7,40098.6
1788183768,200,large,40815.8,40812.5
1788183768,200,large,40708.5,40701.5
1788183770,200,large,40692.9,40685.4
1788183772,200,large,49055.4,49047.3
1788183784,200,large,100717.6,100712.6
1788183804,200,large,119882.1,119868.5
1788183805,200,large,78852.3,78842.9
1788183805,200,large,79801.6,79794.9
1788183806,200,large,103469.1,103462.4
1788183806,200,large,41239.9,41230.9
1788183808,200,large,41121.4,41118.8
1788183809,200,large,41045.0,41031.6
1788183810,200,large,41042.3,41037.8
1788183811,200,large,40971.3,40958.1
1788183812,200,large,41242.0,41220.5
1788183813,200,large,89728.2,89717.7
1788183825,200,large,100256.3,100248.4
1788183845,200,large,79390.2,79378.1
1788183845,200,large,79560.3,79553.1
1788183846,200,large,82074.8,82070.4
1788183847,200,large,102617.2,102608.3
1788183847,200,large,40317.2,40309.4
1788183850,200,large,40914.4,40911.6
1788183851,200,large,40764.9,40755.5
1788183851,200,large,40788.4,40781.0
1788183852,200,large,40688.1,40683.5
1788183854,200,large,40666.1,40646.5
1788183855,200,large,90572.8,90564.7
1788183860,200,large,52910.1,52906.0
