1787452329 llm-proxy-857bf6d79d-7gjc5   229m   1986Mi   
1787452329 llm-proxy-857bf6d79d-l4sc7   82m    2084Mi   
1787452329 llm-proxy-857bf6d79d-w29hf   236m   2073Mi   
1787452400 llm-proxy-857bf6d79d-7gjc5   252m    1992Mi   
1787452400 llm-proxy-857bf6d79d-l4sc7   86m     2084Mi   
1787452400 llm-proxy-857bf6d79d-w29hf   1624m   589Mi    
1787452472 llm-proxy-857bf6d79d-7gjc5   224m    1987Mi   
1787452472 llm-proxy-857bf6d79d-l4sc7   88m     2084Mi   
1787452472 llm-proxy-857bf6d79d-w29hf   1823m   1033Mi   
