1787419998 llm-proxy-857bf6d79d-4vp47   1817m   1471Mi   
1787419998 llm-proxy-857bf6d79d-jlz5f   4m      1471Mi   
1787419998 llm-proxy-857bf6d79d-lzjc4   269m    1988Mi   
1787419998 llm-proxy-857bf6d79d-thxs6   1899m   1587Mi   
1787420070 llm-proxy-857bf6d79d-4vp47   1902m   1708Mi   
1787420070 llm-proxy-857bf6d79d-jlz5f   1822m   1652Mi   
1787420070 llm-proxy-857bf6d79d-lzjc4   280m    1988Mi   
1787420070 llm-proxy-857bf6d79d-thxs6   1941m   1642Mi   
1787420142 llm-proxy-857bf6d79d-4vp47   1909m   1807Mi   
1787420142 llm-proxy-857bf6d79d-jlz5f   1916m   1693Mi   
1787420142 llm-proxy-857bf6d79d-lzjc4   279m    1985Mi   
1787420142 llm-proxy-857bf6d79d-thxs6   1754m   1661Mi   
