43m     Normal    NodeReady                      node/ip-172-31-42-187.us-west-2.compute.internal   Node ip-172-31-42-187.us-west-2.compute.internal status is now: NodeReady
42m     Normal    NodeAllocatableEnforced        node/ip-172-31-27-25.us-west-2.compute.internal    Updated Node Allocatable limit across pods
42m     Normal    NodeHasSufficientPID           node/ip-172-31-27-25.us-west-2.compute.internal    Node ip-172-31-27-25.us-west-2.compute.internal status is now: NodeHasSufficientPID
42m     Normal    NodeHasNoDiskPressure          node/ip-172-31-27-25.us-west-2.compute.internal    Node ip-172-31-27-25.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
42m     Normal    NodeHasSufficientMemory        node/ip-172-31-27-25.us-west-2.compute.internal    Node ip-172-31-27-25.us-west-2.compute.internal status is now: NodeHasSufficientMemory
42m     Normal    RegisteredNode                 node/ip-172-31-27-25.us-west-2.compute.internal    Node ip-172-31-27-25.us-west-2.compute.internal event: Registered Node ip-172-31-27-25.us-west-2.compute.internal in Controller
42m     Normal    NodeReady                      node/ip-172-31-27-25.us-west-2.compute.internal    Node ip-172-31-27-25.us-west-2.compute.internal status is now: NodeReady
42m     Normal    NodeHasSufficientPID           node/ip-172-31-47-61.us-west-2.compute.internal    Node ip-172-31-47-61.us-west-2.compute.internal status is now: NodeHasSufficientPID
42m     Normal    NodeHasNoDiskPressure          node/ip-172-31-47-61.us-west-2.compute.internal    Node ip-172-31-47-61.us-west-2.compute.internal status is now: NodeHasNoDiskPressure
42m     Warning   InvalidDiskCapacity            node/ip-172-31-47-61.us-west-2.compute.internal    invalid capacity 0 on image filesystem
42m     Normal    NodeAllocatableEnforced        node/ip-172-31-47-61.us-west-2.compute.internal    Updated Node Allocatable limit across pods
42m     Normal    CIDRAssignmentFailed           node/ip-172-31-47-61.us-west-2.compute.internal    Node ip-172-31-47-61.us-west-2.compute.internal status is now: CIDRAssignmentFailed
42m     Normal    NodeHasSufficientMemory        node/ip-172-31-47-61.us-west-2.compute.internal    Node ip-172-31-47-61.us-west-2.compute.internal status is now: NodeHasSufficientMemory
41m     Normal    RegisteredNode                 node/ip-172-31-47-61.us-west-2.compute.internal    Node ip-172-31-47-61.us-west-2.compute.internal event: Registered Node ip-172-31-47-61.us-west-2.compute.internal in Controller
41m     Normal    NodeReady                      node/ip-172-31-47-61.us-west-2.compute.internal    Node ip-172-31-47-61.us-west-2.compute.internal status is now: NodeReady
41m     Normal    SuccessfulCreate               replicaset/llm-proxy-7dc458997b                    Created pod: llm-proxy-7dc458997b-g49vs
41m     Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled up replica set llm-proxy-7dc458997b from 0 to 1
41m     Normal    Scheduled                      pod/llm-proxy-7dc458997b-g49vs                     Successfully assigned default/llm-proxy-7dc458997b-g49vs to ip-172-31-47-61.us-west-2.compute.internal
41m     Normal    Pulling                        pod/llm-proxy-7dc458997b-g49vs                     Pulling image "curlimages/curl:8.21.0"
41m     Normal    Created                        pod/llm-proxy-7dc458997b-g49vs                     Container created
41m     Normal    Pulled                         pod/llm-proxy-7dc458997b-g49vs                     Successfully pulled image "curlimages/curl:8.21.0" in 1.721s (1.721s including waiting). Image size: 10652192 bytes.
41m     Normal    Started                        pod/llm-proxy-7dc458997b-g49vs                     Container started
40m     Normal    Pulling                        pod/llm-proxy-7dc458997b-g49vs                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
40m     Normal    Started                        pod/llm-proxy-7dc458997b-g49vs                     Container started
40m     Normal    Created                        pod/llm-proxy-7dc458997b-g49vs                     Container created
40m     Normal    Pulled                         pod/llm-proxy-7dc458997b-g49vs                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 18.263s (18.263s including waiting). Image size: 309744371 bytes.
40m     Normal    Pulling                        pod/llm-proxy-7dc458997b-g49vs                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
40m     Normal    Started                        pod/llm-proxy-7dc458997b-g49vs                     Container started
40m     Warning   Unhealthy                      pod/llm-proxy-7dc458997b-g49vs                     Readiness probe failed: Get "http://10.244.6.2:8000/health": dial tcp 10.244.6.2:8000: connect: connection refused
40m     Normal    Created                        pod/llm-proxy-7dc458997b-g49vs                     Container created
40m     Normal    Pulled                         pod/llm-proxy-7dc458997b-g49vs                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.352s (5.352s including waiting). Image size: 64753325 bytes.
40m     Normal    Killing                        pod/llm-proxy-7dc458997b-g49vs                     Stopping container llama-server
40m     Normal    Killing                        pod/llm-proxy-7dc458997b-g49vs                     Stopping container fastapi-proxy
40m     Normal    SuccessfulCreate               replicaset/llm-proxy-7dc458997b                    Created pod: llm-proxy-7dc458997b-vx49l
40m     Normal    Scheduled                      pod/llm-proxy-7dc458997b-vx49l                     Successfully assigned default/llm-proxy-7dc458997b-vx49l to ip-172-31-42-3.us-west-2.compute.internal
40m     Normal    Pulling                        pod/llm-proxy-7dc458997b-vx49l                     Pulling image "curlimages/curl:8.21.0"
40m     Normal    Started                        pod/llm-proxy-7dc458997b-vx49l                     Container started
40m     Normal    Created                        pod/llm-proxy-7dc458997b-vx49l                     Container created
40m     Normal    Pulled                         pod/llm-proxy-7dc458997b-vx49l                     Successfully pulled image "curlimages/curl:8.21.0" in 1.651s (1.651s including waiting). Image size: 10652192 bytes.
39m     Normal    Pulling                        pod/llm-proxy-7dc458997b-vx49l                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
39m     Normal    Created                        pod/llm-proxy-7dc458997b-vx49l                     Container created
39m     Normal    Pulling                        pod/llm-proxy-7dc458997b-vx49l                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
39m     Normal    Started                        pod/llm-proxy-7dc458997b-vx49l                     Container started
39m     Normal    Pulled                         pod/llm-proxy-7dc458997b-vx49l                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 13.366s (13.366s including waiting). Image size: 309744371 bytes.
39m     Normal    Pulled                         pod/llm-proxy-7dc458997b-vx49l                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.381s (5.381s including waiting). Image size: 64753325 bytes.
39m     Normal    Created                        pod/llm-proxy-7dc458997b-vx49l                     Container created
39m     Normal    Started                        pod/llm-proxy-7dc458997b-vx49l                     Container started
39m     Warning   Unhealthy                      pod/llm-proxy-7dc458997b-vx49l                     Readiness probe failed: Get "http://10.244.2.2:8000/health": dial tcp 10.244.2.2:8000: connect: connection refused
39m     Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/llm-proxy-exp6             invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
39m     Warning   FailedGetResourceMetric        horizontalpodautoscaler/llm-proxy-exp6             failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
38m     Warning   FailedGetResourceMetric        horizontalpodautoscaler/llm-proxy-exp6             failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
38m     Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/llm-proxy-exp6             invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
38m     Normal    SuccessfulCreate               replicaset/llm-proxy-7dc458997b                    Created pod: llm-proxy-7dc458997b-txfz7
38m     Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 2; reason: cpu resource utilization (percentage of request) above target
38m     Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled up replica set llm-proxy-7dc458997b from 1 to 2
38m     Normal    Scheduled                      pod/llm-proxy-7dc458997b-txfz7                     Successfully assigned default/llm-proxy-7dc458997b-txfz7 to ip-172-31-47-61.us-west-2.compute.internal
38m     Normal    Started                        pod/llm-proxy-7dc458997b-txfz7                     Container started
38m     Normal    Created                        pod/llm-proxy-7dc458997b-txfz7                     Container created
