1787963093 llm-proxy-7dc458997b-hwf8r   1904m   2100Mi   
1787963093 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787963093 llm-proxy-7dc458997b-wf6pw   4m      205Mi    
1787963093 llm-proxy-7dc458997b-zfs44   1924m   2345Mi   
1787963163 llm-proxy-7dc458997b-55k8q   1857m   1582Mi   
1787963163 llm-proxy-7dc458997b-9zcf6   1904m   2232Mi   
1787963163 llm-proxy-7dc458997b-hwf8r   1884m   2124Mi   
1787963163 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787963163 llm-proxy-7dc458997b-wf6pw   4m      205Mi    
1787963163 llm-proxy-7dc458997b-zfs44   1907m   2481Mi   
1787963234 llm-proxy-7dc458997b-55k8q   1905m   1744Mi   
1787963234 llm-proxy-7dc458997b-9zcf6   4m      2292Mi   
1787963234 llm-proxy-7dc458997b-hwf8r   1900m   2124Mi   
1787963234 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787963234 llm-proxy-7dc458997b-wf6pw   4m      205Mi    
1787963234 llm-proxy-7dc458997b-zfs44   1913m   2504Mi   
1787963304 llm-proxy-7dc458997b-55k8q   1532m   1884Mi   
1787963304 llm-proxy-7dc458997b-9zcf6   4m      2292Mi   
1787963304 llm-proxy-7dc458997b-hwf8r   1763m   2124Mi   
1787963304 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787963304 llm-proxy-7dc458997b-wf6pw   4m      205Mi    
1787963304 llm-proxy-7dc458997b-zfs44   1763m   2524Mi   
1787963374 llm-proxy-7dc458997b-55k8q   1687m   2042Mi   
1787963374 llm-proxy-7dc458997b-9zcf6   4m      2292Mi   
1787963374 llm-proxy-7dc458997b-hwf8r   1912m   2124Mi   
1787963374 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787963374 llm-proxy-7dc458997b-wf6pw   4m      205Mi    
1787963374 llm-proxy-7dc458997b-zfs44   1367m   2745Mi   
1787963445 llm-proxy-7dc458997b-55k8q   1877m   2165Mi   
1787963445 llm-proxy-7dc458997b-9zcf6   4m      2292Mi   
1787963445 llm-proxy-7dc458997b-hwf8r   1895m   2163Mi   
1787963445 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787963445 llm-proxy-7dc458997b-wf6pw   4m      205Mi    
1787963445 llm-proxy-7dc458997b-zfs44   253m    2860Mi   
1787963515 llm-proxy-7dc458997b-55k8q   1905m   2349Mi   
1787963515 llm-proxy-7dc458997b-9zcf6   5m      2292Mi   
1787963515 llm-proxy-7dc458997b-hwf8r   1899m   2163Mi   
1787963515 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787963515 llm-proxy-7dc458997b-wf6pw   4m      205Mi    
1787963515 llm-proxy-7dc458997b-zfs44   201m    2845Mi   
1787963585 llm-proxy-7dc458997b-55k8q   1899m   2492Mi   
1787963585 llm-proxy-7dc458997b-9zcf6   4m      2292Mi   
1787963585 llm-proxy-7dc458997b-hwf8r   1883m   2220Mi   
1787963585 llm-proxy-7dc458997b-w92kq   4m      205Mi    
1787963585 llm-proxy-7dc458997b-wf6pw   3m      205Mi    
1787963585 llm-proxy-7dc458997b-zfs44   206m    2851Mi   
1787963655 llm-proxy-7dc458997b-55k8q   4m     2483Mi   
1787963655 llm-proxy-7dc458997b-9zcf6   5m     2292Mi   
1787963655 llm-proxy-7dc458997b-hwf8r   5m     2267Mi   
1787963655 llm-proxy-7dc458997b-wf6pw   4m     205Mi    
1787963655 llm-proxy-7dc458997b-zfs44   211m   2860Mi   
1787963726 llm-proxy-7dc458997b-55k8q   4m     2482Mi   
1787963726 llm-proxy-7dc458997b-9zcf6   4m     2292Mi   
1787963726 llm-proxy-7dc458997b-wf6pw   5m     205Mi    
1787963726 llm-proxy-7dc458997b-zfs44   207m   2870Mi   
1787963796 llm-proxy-7dc458997b-55k8q   4m     2482Mi   
1787963796 llm-proxy-7dc458997b-9zcf6   4m     2292Mi   
1787963796 llm-proxy-7dc458997b-wf6pw   4m     205Mi    
1787963796 llm-proxy-7dc458997b-zfs44   207m   2862Mi   
1787963866 llm-proxy-7dc458997b-55k8q   4m    2482Mi   
1787963866 llm-proxy-7dc458997b-9zcf6   4m    2292Mi   
1787963866 llm-proxy-7dc458997b-wf6pw   4m    205Mi    
1787963866 llm-proxy-7dc458997b-zfs44   4m    2834Mi   
1787963937 llm-proxy-7dc458997b-9zcf6   5m    2292Mi   
1787963937 llm-proxy-7dc458997b-zfs44   4m    2825Mi   
1787964007 llm-proxy-7dc458997b-9zcf6   4m    2292Mi   
1787964078 llm-proxy-7dc458997b-9zcf6   4m    2292Mi   
