1787448024 llm-proxy-857bf6d79d-gbrzg   1923m   779Mi    
1787448024 llm-proxy-857bf6d79d-l4sc7   237m    1921Mi   
1787448024 llm-proxy-857bf6d79d-tmxvt   261m    2021Mi   
1787448024 llm-proxy-857bf6d79d-z8vvr   289m    1984Mi   
1787448095 llm-proxy-857bf6d79d-l4sc7   384m   1959Mi   
1787448095 llm-proxy-857bf6d79d-tmxvt   266m   2018Mi   
1787448095 llm-proxy-857bf6d79d-z8vvr   810m   1943Mi   
1787448166 llm-proxy-857bf6d79d-l4sc7   253m   1924Mi   
1787448166 llm-proxy-857bf6d79d-tmxvt   249m   2018Mi   
1787448166 llm-proxy-857bf6d79d-z8vvr   758m   1971Mi   
