level,offered_req_s_mean,offered_req_s_std,offered_req_s_n,received_req_s_mean,received_req_s_std,received_req_s_n,avg_ms_mean,avg_ms_std,avg_ms_n,p50_ms_mean,p50_ms_std,p50_ms_n,p95_ms_mean,p95_ms_std,p95_ms_n,error_rate_mean,error_rate_std,error_rate_n,pods_steady_mean,pods_steady_std,pods_steady_n,cpu_pct_steady_mean,cpu_pct_steady_std,cpu_pct_steady_n,podcpu_m_steady_mean,podcpu_m_steady_std,podcpu_m_steady_n
10,0.18537535380938888,0.08065254557889447,5,0.12197739566537483,0.07916504179123218,5,57942.061936222555,30568.431957625635,5,41201.8,39610.78913881924,5,139000.0,98914.10415102591,5,0.25251160827353314,0.3990608542108617,5,1.8,0.4472135954999579,5,73.05,37.81178718336387,5,2610.95,1494.3943631116922,5
20,0.1947964423444926,0.046543618886046835,5,0.1389009163223728,0.06157925658865578,5,94790.11385036065,27963.05450512582,5,81800.0,13103.434664239752,5,222200.0,89973.32938154506,5,0.225519018583043,0.2415313693088676,5,2.0,0.0,5,76.95,24.721827400093222,5,2795.1,867.7277906982121,5
30,0.1826155331203409,0.07558246628953735,5,0.12639258112888624,0.04577410522530371,5,147006.40807844925,53505.46667267302,5,140400.0,43569.48473415769,5,253200.0,65781.45635359558,5,0.21960203891198954,0.1280013826471451,5,2.0,0.0,5,76.35,21.963463979982755,5,2746.6,808.2687246516471,5
40,0.23506609734438572,0.1496157932607559,5,0.0886654914022236,0.046602845350389076,5,182985.4386075548,85307.39473322708,5,197600.0,103384.23477494041,5,274000.0,58137.76741499453,5,0.5591731822875323,0.17045874380284343,5,2.0,0.0,5,74.7,19.307867567393348,5,2708.2,685.8250369081024,5
50,0.20584970252827625,0.06642714239705776,5,0.10941061319785857,0.024982258483810416,5,184183.7921196829,43022.40112106633,5,189200.0,72726.88636261008,5,295200.0,10733.126291998991,5,0.333803667113625,0.2651083338738274,5,2.0,0.0,5,84.8,19.998749960935058,5,2878.35,886.1674961597272,5
