1787421142 llm-proxy-857bf6d79d-4vp47   266m   2024Mi   
1787421142 llm-proxy-857bf6d79d-jlz5f   430m   2068Mi   
1787421142 llm-proxy-857bf6d79d-thxs6   249m   2080Mi   
1787421214 llm-proxy-857bf6d79d-4vp47   259m    2023Mi   
1787421214 llm-proxy-857bf6d79d-jlz5f   1913m   784Mi    
1787421214 llm-proxy-857bf6d79d-thxs6   238m    2082Mi   
1787421286 llm-proxy-857bf6d79d-4vp47   263m    2025Mi   
1787421286 llm-proxy-857bf6d79d-jlz5f   1919m   1024Mi   
1787421286 llm-proxy-857bf6d79d-thxs6   251m    2080Mi   
