ts,status,size,total_ms,upstream_ms
1787444985,200,medium,8800.6,8782.8
1787444986,200,small,8735.3,8728.3
1787444991,200,small,13795.5,13787.0
1787444996,200,small,17901.4,17885.0
1787445006,200,medium,28059.9,28050.1
1787445022,200,medium,42276.3,42261.2
1787445025,200,large,48035.7,48008.7
1787445028,200,medium,48436.3,48423.5
1787445029,200,small,49163.7,49144.5
1787445034,200,small,52287.8,52279.7
1787445034,200,small,50295.6,50277.8
1787445039,200,large,62776.7,62757.9
1787445044,200,small,64857.9,64831.2
1787445049,200,small,68868.0,68848.6
1787445054,200,small,72795.9,72780.0
1787445064,200,medium,76503.6,76489.0
1787445069,200,large,89215.6,89192.8
1787445086,200,large,104394.2,104375.3
1787445086,200,medium,93528.5,93525.0
1787445093,200,small,94955.9,94942.0
