Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/generate,94,0,37000,32241.325219946804,9470.044397000038,60486.951666000095,1285.2659574468084,0.5241309830425654,0.0,37000,40000,41000,41000,42000,60000,60000,60000,60000,60000,60000
,Aggregated,94,0,37000,32241.325219946804,9470.044397000038,60486.951666000095,1285.2659574468084,0.5241309830425654,0.0,37000,40000,41000,41000,42000,60000,60000,60000,60000,60000,60000
