ts,status,size,total_ms,upstream_ms
1787504716,200,medium,20701.4,20693.1
1787504716,200,medium,20709.8,20702.1
1787504735,200,medium,40152.3,40145.0
1787504737,200,medium,20211.7,20202.8
1787504755,200,medium,37904.0,37889.1
1787504757,200,medium,21647.4,21642.4
1787504777,200,medium,38958.2,38953.1
1787504779,200,medium,22795.3,22785.2
1787504798,200,medium,39049.5,39042.2
1787504800,200,medium,20572.9,20560.7
1787504818,200,medium,36921.5,36912.8
1787504820,200,medium,21369.8,21332.4
1787504838,200,medium,36984.2,36974.6
1787504840,200,medium,21808.1,21804.9
1787504859,200,medium,37147.4,37130.3
1787504861,200,medium,21591.1,21587.0
