Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/generate,HTTPError('504 Server Error: Gateway Timeout for url: /generate'),5,2026-08-29T08:18:49Z,2026-08-29T08:20:19Z
POST,/generate,RemoteDisconnected('Remote end closed connection without response'),1,2026-08-29T08:21:23Z,2026-08-29T08:21:23Z
