1787453141 llm-proxy-857bf6d79d-7gjc5   363m    2006Mi   
1787453141 llm-proxy-857bf6d79d-l4sc7   83m     2084Mi   
1787453141 llm-proxy-857bf6d79d-w29hf   1897m   1996Mi   
1787453212 llm-proxy-857bf6d79d-7gjc5   248m    2004Mi   
1787453212 llm-proxy-857bf6d79d-l4sc7   83m     2084Mi   
1787453212 llm-proxy-857bf6d79d-w29hf   1882m   2035Mi   
1787453285 llm-proxy-857bf6d79d-7gjc5   239m    2004Mi   
1787453285 llm-proxy-857bf6d79d-l4sc7   91m     2083Mi   
1787453285 llm-proxy-857bf6d79d-w29hf   1855m   2035Mi   
