1787448344 llm-proxy-857bf6d79d-l4sc7   298m   1972Mi   
1787448344 llm-proxy-857bf6d79d-tmxvt   248m   2043Mi   
1787448344 llm-proxy-857bf6d79d-z8vvr   772m   1988Mi   
1787448415 llm-proxy-857bf6d79d-l4sc7   266m   1982Mi   
1787448415 llm-proxy-857bf6d79d-tmxvt   246m   2039Mi   
1787448415 llm-proxy-857bf6d79d-z8vvr   317m   2027Mi   
1787448486 llm-proxy-857bf6d79d-l4sc7   268m   1982Mi   
1787448486 llm-proxy-857bf6d79d-tmxvt   254m   2039Mi   
1787448486 llm-proxy-857bf6d79d-z8vvr   300m   2026Mi   
