1787448504 llm-proxy-857bf6d79d-l4sc7   265m   1980Mi   
1787448504 llm-proxy-857bf6d79d-tmxvt   259m   2039Mi   
1787448504 llm-proxy-857bf6d79d-z8vvr   308m   2025Mi   
1787448575 llm-proxy-857bf6d79d-l4sc7   252m   2000Mi   
1787448575 llm-proxy-857bf6d79d-tmxvt   255m   2040Mi   
1787448575 llm-proxy-857bf6d79d-z8vvr   324m   2024Mi   
1787448646 llm-proxy-857bf6d79d-l4sc7   296m   2026Mi   
1787448646 llm-proxy-857bf6d79d-tmxvt   307m   2019Mi   
1787448646 llm-proxy-857bf6d79d-z8vvr   313m   2026Mi   
