1787452652 llm-proxy-857bf6d79d-7gjc5   242m    1989Mi   
1787452652 llm-proxy-857bf6d79d-l4sc7   86m     2084Mi   
1787452652 llm-proxy-857bf6d79d-w29hf   1586m   1438Mi   
1787452722 llm-proxy-857bf6d79d-7gjc5   245m    1993Mi   
1787452722 llm-proxy-857bf6d79d-l4sc7   92m     2084Mi   
1787452722 llm-proxy-857bf6d79d-w29hf   1867m   1659Mi   
1787452794 llm-proxy-857bf6d79d-7gjc5   252m    1991Mi   
1787452794 llm-proxy-857bf6d79d-l4sc7   82m     2083Mi   
1787452794 llm-proxy-857bf6d79d-w29hf   1882m   1657Mi   
