21m   Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/llm-proxy                  invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
21m   Warning   FailedGetResourceMetric        horizontalpodautoscaler/llm-proxy                  failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
17m   Normal    SuccessfulCreate               replicaset/llm-proxy-857bf6d79d                    Created pod: llm-proxy-857bf6d79d-kfbwq
17m   Normal    Scheduled                      pod/llm-proxy-857bf6d79d-kfbwq                     Successfully assigned default/llm-proxy-857bf6d79d-kfbwq to ip-172-31-24-181.us-west-2.compute.internal
17m   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled up replica set llm-proxy-857bf6d79d from 1 to 2
17m   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy                  New size: 2; reason: cpu resource utilization (percentage of request) above target
17m   Normal    Pulling                        pod/llm-proxy-857bf6d79d-kfbwq                     Pulling image "curlimages/curl:8.21.0"
17m   Normal    Started                        pod/llm-proxy-857bf6d79d-kfbwq                     Container started
17m   Normal    Created                        pod/llm-proxy-857bf6d79d-kfbwq                     Container created
17m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-kfbwq                     Successfully pulled image "curlimages/curl:8.21.0" in 1.75s (1.75s including waiting). Image size: 10652192 bytes.
16m   Normal    Pulling                        pod/llm-proxy-857bf6d79d-kfbwq                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
16m   Normal    Pulling                        pod/llm-proxy-857bf6d79d-kfbwq                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
16m   Normal    Started                        pod/llm-proxy-857bf6d79d-kfbwq                     Container started
16m   Normal    Created                        pod/llm-proxy-857bf6d79d-kfbwq                     Container created
16m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-kfbwq                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 19.166s (19.166s including waiting). Image size: 307683482 bytes.
15m   Normal    Pulled                         pod/llm-proxy-857bf6d79d-kfbwq                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 6.477s (6.477s including waiting). Image size: 64752814 bytes.
15m   Normal    Created                        pod/llm-proxy-857bf6d79d-kfbwq                     Container created
15m   Normal    Started                        pod/llm-proxy-857bf6d79d-kfbwq                     Container started
15m   Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-kfbwq                     Readiness probe failed: Get "http://10.244.1.3:8000/health": dial tcp 10.244.1.3:8000: connect: connection refused
