1787468183 llm-proxy-857bf6d79d-79btg   4m      406Mi    
1787468183 llm-proxy-857bf6d79d-pbtz2   1839m   1026Mi   
1787468256 llm-proxy-857bf6d79d-79btg   1918m   663Mi    
1787468256 llm-proxy-857bf6d79d-pbtz2   1819m   1246Mi   
1787468328 llm-proxy-857bf6d79d-79btg   1922m   1074Mi   
1787468328 llm-proxy-857bf6d79d-ccwbz   3m      419Mi    
1787468328 llm-proxy-857bf6d79d-pbtz2   1913m   1365Mi   
1787468328 llm-proxy-857bf6d79d-r4b5d   5m      420Mi    
