1787958275 llm-proxy-7dc458997b-hmnnv   4m      205Mi    
1787958275 llm-proxy-7dc458997b-ppzrl   1898m   1888Mi   
1787958275 llm-proxy-7dc458997b-sspc6   1871m   1803Mi   
1787958275 llm-proxy-7dc458997b-wjrh7   1813m   2072Mi   
1787958347 llm-proxy-7dc458997b-5m98z   853m    2795Mi   
1787958347 llm-proxy-7dc458997b-5rjdx   4m      245Mi    
1787958347 llm-proxy-7dc458997b-hmnnv   4m      205Mi    
1787958347 llm-proxy-7dc458997b-ppzrl   1918m   1926Mi   
1787958347 llm-proxy-7dc458997b-sspc6   1893m   1879Mi   
1787958347 llm-proxy-7dc458997b-wjrh7   5m      2131Mi   
1787958420 llm-proxy-7dc458997b-5m98z   223m    2752Mi   
1787958420 llm-proxy-7dc458997b-5rjdx   4m      245Mi    
1787958420 llm-proxy-7dc458997b-hmnnv   4m      205Mi    
1787958420 llm-proxy-7dc458997b-ppzrl   1916m   1926Mi   
1787958420 llm-proxy-7dc458997b-sspc6   1905m   2001Mi   
1787958420 llm-proxy-7dc458997b-wjrh7   4m      2130Mi   
1787958491 llm-proxy-7dc458997b-5m98z   233m    2753Mi   
1787958491 llm-proxy-7dc458997b-5rjdx   3m      245Mi    
1787958491 llm-proxy-7dc458997b-hmnnv   4m      205Mi    
1787958491 llm-proxy-7dc458997b-ppzrl   1920m   1926Mi   
1787958491 llm-proxy-7dc458997b-sspc6   1507m   2069Mi   
1787958491 llm-proxy-7dc458997b-wjrh7   4m      2130Mi   
1787958562 llm-proxy-7dc458997b-5m98z   524m    2825Mi   
1787958562 llm-proxy-7dc458997b-5rjdx   4m      245Mi    
1787958562 llm-proxy-7dc458997b-hmnnv   4m      205Mi    
1787958562 llm-proxy-7dc458997b-ppzrl   1855m   1926Mi   
1787958562 llm-proxy-7dc458997b-sspc6   1402m   2181Mi   
1787958562 llm-proxy-7dc458997b-wjrh7   4m      2130Mi   
1787958634 llm-proxy-7dc458997b-5m98z   264m    2784Mi   
1787958634 llm-proxy-7dc458997b-5rjdx   4m      245Mi    
1787958634 llm-proxy-7dc458997b-hmnnv   5m      205Mi    
1787958634 llm-proxy-7dc458997b-ppzrl   1912m   1965Mi   
