26m     Normal    SuccessfulCreate               replicaset/llm-proxy-857bf6d79d                    Created pod: llm-proxy-857bf6d79d-hrj5h
26m     Normal    Scheduled                      pod/llm-proxy-857bf6d79d-hrj5h                     Successfully assigned default/llm-proxy-857bf6d79d-hrj5h to ip-172-31-30-49.us-west-2.compute.internal
26m     Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled up replica set llm-proxy-857bf6d79d from 1 to 2
26m     Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy                  New size: 2; reason: cpu resource utilization (percentage of request) above target
26m     Normal    Pulling                        pod/llm-proxy-857bf6d79d-hrj5h                     Pulling image "curlimages/curl:8.21.0"
26m     Normal    Pulled                         pod/llm-proxy-857bf6d79d-hrj5h                     Successfully pulled image "curlimages/curl:8.21.0" in 1.715s (1.715s including waiting). Image size: 10652192 bytes.
26m     Normal    Created                        pod/llm-proxy-857bf6d79d-hrj5h                     Container created
26m     Normal    Started                        pod/llm-proxy-857bf6d79d-hrj5h                     Container started
26m     Normal    Pulling                        pod/llm-proxy-857bf6d79d-hrj5h                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
26m     Normal    Started                        pod/llm-proxy-857bf6d79d-hrj5h                     Container started
26m     Normal    Pulling                        pod/llm-proxy-857bf6d79d-hrj5h                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
26m     Normal    Created                        pod/llm-proxy-857bf6d79d-hrj5h                     Container created
26m     Normal    Pulled                         pod/llm-proxy-857bf6d79d-hrj5h                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 16.814s (16.814s including waiting). Image size: 307655741 bytes.
25m     Normal    Pulled                         pod/llm-proxy-857bf6d79d-hrj5h                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 6.413s (6.413s including waiting). Image size: 64752814 bytes.
25m     Normal    Created                        pod/llm-proxy-857bf6d79d-hrj5h                     Container created
25m     Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-hrj5h                     Readiness probe failed: Get "http://10.244.1.3:8000/health": dial tcp 10.244.1.3:8000: connect: connection refused
25m     Normal    Started                        pod/llm-proxy-857bf6d79d-hrj5h                     Container started
5m51s   Normal    Killing                        pod/llm-proxy-857bf6d79d-hrj5h                     Stopping container fastapi-proxy
5m51s   Normal    SuccessfulDelete               replicaset/llm-proxy-857bf6d79d                    Deleted pod: llm-proxy-857bf6d79d-hrj5h
5m51s   Normal    Killing                        pod/llm-proxy-857bf6d79d-hrj5h                     Stopping container llama-server
5m51s   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy                  New size: 1; reason: All metrics below target
5m51s   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-857bf6d79d from 2 to 1
