Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/generate,HTTPError('504 Server Error: Gateway Timeout for url: /generate'),7,2026-08-28T23:04:33Z,2026-08-28T23:10:30Z
POST,/generate,RemoteDisconnected('Remote end closed connection without response'),7,2026-08-28T23:11:11Z,2026-08-28T23:11:11Z
