1787424896 llm-proxy-857bf6d79d-jlz5f   222m   2068Mi   
1787425039 llm-proxy-857bf6d79d-fcpf2   4m      205Mi   
1787425039 llm-proxy-857bf6d79d-jlz5f   1877m   813Mi   
