ts,status,size,total_ms,upstream_ms
1787429506,200,small,5413.3,5406.8
1787429506,200,small,5085.0,5069.8
1787429511,200,small,9469.8,9455.9
1787429511,200,small,9070.6,9058.0
1787429514,200,small,13217.8,13203.1
1787429516,200,small,14499.6,14482.1
1787429519,200,small,18080.4,18076.0
1787429521,200,small,18574.8,18561.2
1787429521,200,medium,20873.7,20866.5
1787429521,502,small,16120.6,0.0
1787429521,502,small,16120.5,0.0
1787429521,502,medium,19125.7,0.0
1787429521,502,medium,16122.4,0.0
1787429521,502,medium,13620.7,0.0
1787429521,502,small,8415.5,0.0
1787429521,502,medium,17125.6,0.0
1787429521,502,large,18127.1,0.0
1787429522,503,small,14.5,3.6
1787429522,503,small,12.5,3.6
1787429523,503,small,6.3,3.2
1787429523,503,medium,5.9,3.1
1787429523,503,large,7.8,3.2
1787429523,503,small,9.2,6.3
1787429523,503,large,8.8,4.4
1787429523,503,small,6.3,3.3
1787429523,200,medium,22861.1,22853.1
1787429523,503,small,6.2,3.2
1787429523,503,small,34.0,10.7
1787429524,503,small,8.5,5.3
1787429525,200,small,22881.9,22873.5
1787429526,200,medium,24998.2,24990.2
1787429528,200,small,24964.7,24955.5
1787429532,200,small,29784.1,29776.9
1787429532,200,small,8364.1,8360.9
1787429533,200,small,29066.3,29057.9
1787429533,200,small,9569.4,9563.1
1787429539,200,small,14527.1,14520.5
1787429539,200,small,14677.8,14670.9
1787429544,200,medium,40803.6,40798.6
1787429547,200,medium,42453.2,42436.8
1787429548,200,large,47566.4,47560.3
1787429552,200,small,46713.2,46703.6
1787429553,200,medium,46624.6,46618.5
1787429557,200,medium,53466.2,53452.0
1787429561,200,medium,36795.5,36782.0
1787429562,200,large,58509.4,58497.4
1787429565,200,medium,60341.4,60329.0
1787429566,200,small,41377.9,41372.5
1787429567,200,small,50384.0,50374.0
1787429574,200,medium,60967.0,60957.7
1787429578,200,medium,72957.1,72939.7
1787429579,200,large,58035.6,58018.2
1787429579,200,small,53746.1,53740.8
1787429582,200,large,57680.3,57674.5
1787429585,200,small,56861.5,56852.9
1787429588,200,medium,62682.4,62678.1
1787429591,200,small,57833.2,57827.0
1787429593,200,large,78356.5,78347.6
1787429597,200,large,92148.6,92131.2
1787429599,200,medium,68318.7,68311.9
1787429600,200,medium,73767.5,73760.8
1787429603,200,medium,58388.6,58383.2
1787429604,200,small,69641.6,69637.4
1787429605,200,small,56511.3,56501.3
1787429607,200,large,85443.7,85393.9
1787429609,200,medium,75852.9,75843.8
1787429609,200,small,54974.3,54969.4
1787429611,200,medium,61974.8,61964.5
1787429613,200,small,49898.8,49889.3
1787429614,200,small,78710.4,78702.4
1787429615,200,small,47454.8,47446.6
1787429619,200,small,43092.3,43081.6
1787429619,200,small,79847.3,79842.6
